epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,10109.9,1.1608,1.30336,1.36937,0.7241,0.64788,0.7026,0.4887,1.14867,1.15299,1.30011,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,10277.2,1.14495,1.2785,1.36298,0.71905,0.65364,0.7052,0.49084,1.14464,1.14712,1.29576,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,10444.6,1.13569,1.27214,1.35449,0.73066,0.65242,0.70732,0.49527,1.14978,1.13762,1.30506,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,10612,1.12636,1.24836,1.35424,0.71817,0.66043,0.70659,0.49775,1.13712,1.14797,1.29988,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,10779.4,1.13402,1.24257,1.35582,0.72808,0.65944,0.70899,0.50293,1.1349,1.14154,1.2963,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,10946.8,1.11417,1.23974,1.34234,0.73613,0.66137,0.71585,0.50804,1.12886,1.12709,1.28609,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,11114.2,1.11713,1.23685,1.33609,0.73556,0.66549,0.71825,0.51011,1.11836,1.1195,1.28364,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,11281.5,1.1083,1.2103,1.33569,0.73975,0.66896,0.72316,0.5156,1.1243,1.10668,1.27929,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,11448.8,1.1073,1.2066,1.3298,0.75448,0.66163,0.72836,0.52242,1.12105,1.09385,1.27838,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,11616.1,1.09758,1.18683,1.32568,0.75012,0.66678,0.72953,0.52301,1.11657,1.09081,1.27661,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,11783.8,1.10662,1.18802,1.32608,0.75141,0.66802,0.73236,0.52535,1.10983,1.08413,1.27105,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,11951.2,1.09249,1.17576,1.32035,0.75582,0.66954,0.73094,0.52662,1.10978,1.08649,1.27426,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,12118.7,1.08467,1.15114,1.31463,0.76985,0.66241,0.72985,0.52839,1.10444,1.09585,1.268,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,12286.1,1.0844,1.13919,1.3108,0.76823,0.66895,0.73311,0.53112,1.09633,1.09709,1.26108,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,12453.4,1.0749,1.11681,1.30854,0.75235,0.67685,0.73538,0.53443,1.09602,1.08368,1.25942,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,12621.5,1.06259,1.10885,1.29799,0.76331,0.67237,0.73875,0.53818,1.09076,1.08381,1.25647,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,12789.2,1.06763,1.12021,1.29922,0.76568,0.68155,0.73865,0.53885,1.08623,1.07585,1.25524,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,12956.9,1.06327,1.10102,1.29032,0.7806,0.6707,0.73977,0.54166,1.08523,1.07724,1.25091,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,13124.4,1.06133,1.0958,1.29389,0.78012,0.67695,0.74332,0.54345,1.08195,1.0784,1.25219,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,13291.8,1.03708,1.05549,1.2704,0.77577,0.682,0.74706,0.5489,1.07948,1.0696,1.24979,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,13459.4,1.04384,1.06161,1.27542,0.79229,0.67627,0.74836,0.55302,1.06948,1.07283,1.24043,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,13626.9,1.03702,1.05907,1.2726,0.78369,0.67874,0.74737,0.55324,1.06896,1.07283,1.24627,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,13794.4,1.04505,1.05034,1.27811,0.78341,0.68679,0.75138,0.557,1.06627,1.06798,1.24393,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,13962,1.04104,1.03907,1.26615,0.793,0.68551,0.75397,0.56158,1.06202,1.05945,1.24037,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,14129.6,1.02902,1.01422,1.25754,0.79743,0.68126,0.75661,0.56493,1.05782,1.05323,1.23623,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,14297.1,1.03643,1.01845,1.26367,0.79682,0.68919,0.75873,0.56772,1.05671,1.04661,1.23419,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,14464.5,1.02119,1.01491,1.25719,0.8121,0.6811,0.75934,0.5692,1.05502,1.03957,1.23274,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,14632.1,1.0133,1.00085,1.25759,0.81479,0.6834,0.76185,0.57198,1.05178,1.0382,1.23246,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,14799.7,1.00944,0.97756,1.25401,0.80791,0.6924,0.76402,0.57598,1.04734,1.03702,1.23106,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
